,country_x,economic_variable,series_code,value,country_y,region,c_t,year,pr,cl,total,matching_score
205,United Kingdom,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.0,United Kingdom,Europe,c,2019,39,54,93,1.0
206,United Kingdom,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,47491.0,United Kingdom,Europe,c,2019,39,54,93,1.0
207,United Kingdom,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.0,United Kingdom,Europe,c,2019,39,54,93,1.0
208,United Kingdom,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,25.0,United Kingdom,Europe,c,2019,39,54,93,1.0
209,United Kingdom,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.0,United Kingdom,Europe,c,2019,39,54,93,1.0
210,United States,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.0,United States,Americas,c,2019,33,53,86,1.0
211,United States,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,60698.0,United States,Americas,c,2019,33,53,86,1.0
212,United States,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.0,United States,Americas,c,2019,33,53,86,1.0
213,United States,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.0,United States,Americas,c,2019,33,53,86,1.0
214,United States,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,0.0,United States,Americas,c,2019,33,53,86,1.0
